Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Holdings As Of Date,Acctg Status Update (CST),Price Date,Income Rate Type Desc,Payment Frequency Desc,Issuer Name,Base Issuer Name,Ticker,5500 Category Description,Asset Type Description,S&P Base LT Rating,S&P Parent LT Rating,S&P Ultimate LT Rating,S&P Quality Rating - Non GRS,Moody's Base LT Rating,Moody's Parent LT Rating,Moody's Ultimate LT Rating,Moody Quality Rating - Non GRS,Fitch Base LT Rating,Fitch Base ST Rating,Fitch Parent LT Rating,Fitch Parent ST Rating,Fitch Ultimate LT Rating,Fitch Ultimate ST Rating,Fair Value Hierarchy Level,Frequency Requirement,Frequency Requirement Desc,Income Rate Type,Issue Type Description,Payment Frequency,Price Source,Price Source Description,Price Type Description,Security Type,Security Type Description,Current Yield,Modified Duration,Yield to Call,Yield to Maturity,Option Adjusted Duration,YTM At Book,YTM At Market
MILL TTF EQ-DIV,494368103,KIMBERLY-CLARK CORP,,0.00,,"23,995.00","2,206,397.78","2,915,632.45","709,234.67",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Kimberly-Clark Corp,Kimberly-Clark Corp,KMB,CORPORATE STOCK - COMMON,HOUSEHOLD PRODUCTS/WARES,A,A,A,NR,A2,A2,A2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,871829107,SYSCO CORP,,0.00,,"23,995.00","843,299.07","1,754,754.35","911,455.28",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Sysco Corp,Sysco Corp,SYY,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB,BBB,BBB,NR,Baa1,Baa1,Baa1,P-3,BBB,F2,BBB,F2,BBB,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,191216100,COCA-COLA CO/THE,,0.00,,"32,999.00","1,265,704.82","1,944,631.07","678,926.25",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Coca-Cola Co/The,Coca-Cola Co/The,KO,CORPORATE STOCK - COMMON,BEVERAGES,A+,A+,A+,NR,A1,A1,A1,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,487836108,KELLANOVA,,0.00,,"25,527.00","1,484,391.71","1,427,214.57","-57,177.14",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Kellanova,Kellanova,K,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB,BBB,BBB,NR,Baa2,Baa2,Baa2,P-3,BBB,F2,BBB,F2,BBB,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,88579Y101,3M CO,,0.00,,"25,527.00","2,905,831.18","2,790,611.64","-115,219.54",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,3M Co,3M Co,MMM,CORPORATE STOCK - COMMON,MISC MANUFACTURER,BBB+,BBB+,BBB+,NR,A3,A3,A3,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,718546104,PHILLIPS 66,,0.00,,"23,995.00","1,550,600.29","3,194,694.30","1,644,094.01",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Phillips 66,Phillips 66,PSX,CORPORATE STOCK - COMMON,OIL & GAS,BBB+,BBB+,BBB+,NR,A3,A3,A3,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,742718109,PROCTER & GAMBLE CO/THE,,0.00,,"23,995.00","1,765,337.68","3,516,227.30","1,750,889.62",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Procter & Gamble Co/The,Procter & Gamble Co/The,PG,CORPORATE STOCK - COMMON,COSMETICS/PERSONAL CARE,AA-,AA-,AA-,NR,Aa3,Aa3,Aa3,P-3,,NR,,NR,,NR,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,713448108,PEPSICO INC,,0.00,,"23,995.00","1,929,304.42","4,075,310.80","2,146,006.38",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,PepsiCo Inc,PepsiCo Inc,PEP,CORPORATE STOCK - COMMON,BEVERAGES,A+,A+,A+,NR,A1,A1,A1,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,842587107,SOUTHERN CO/THE,,0.00,,"23,995.00","1,075,052.40","1,682,529.40","607,477.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Southern Co/The,Southern Co/The,SO,CORPORATE STOCK - COMMON,ELECTRIC,BBB+,BBB+,BBB+,NR,Baa2,Baa2,Baa2,P-3,BBB+,F2,BBB+,F2,BBB+,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,110122108,BRISTOL-MYERS SQUIBB CO,,0.00,,"23,995.00","1,032,297.40","1,231,183.45","198,886.05",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Bristol-Myers Squibb Co,Bristol-Myers Squibb Co,BMY,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A,A,A,NR,A2,A2,A2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,166764100,CHEVRON CORP,,0.00,,"23,995.00","2,560,383.39","3,579,094.20","1,018,710.81",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Chevron Corp,Chevron Corp,CVX,CORPORATE STOCK - COMMON,OIL & GAS,AA-,AA-,AA-,NR,Aa2,Aa2,Aa2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,025537101,AMERICAN ELECTRIC POWER CO INC,,0.00,,"23,995.00","1,154,896.36","1,948,873.90","793,977.54",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,American Electric Power Co Inc,American Electric Power Co Inc,AEP,CORPORATE STOCK - COMMON,ELECTRIC,A-,A-,A-,NR,Baa2,Baa2,Baa2,P-3,BBB,WD,BBB,WD,BBB,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,539830109,LOCKHEED MARTIN CORP,,0.00,,"23,995.00","2,903,168.50","10,875,493.80","7,972,325.30",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Lockheed Martin Corp,Lockheed Martin Corp,LMT,CORPORATE STOCK - COMMON,AEROSPACE/DEFENSE,A-,A-,A-,NR,A2,A2,A2,,A-,F1,A-,F1,A-,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,717081103,PFIZER INC,,0.00,,"23,995.00","605,661.52","690,816.05","85,154.53",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Pfizer Inc,Pfizer Inc,PFE,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A,A,A,NR,A2,A2,A2,P-3,A,F1,A,F1,A,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,205887102,CONAGRA BRANDS INC,,0.00,,"23,995.00","628,983.19","687,696.70","58,713.51",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Conagra Brands Inc,Conagra Brands Inc,CAG,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB-,BBB-,BBB-,NR,Baa3,Baa3,Baa3,,BBB-,F3,BBB-,F3,BBB-,F3,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,532457108,ELI LILLY & CO,,0.00,,"23,995.00","1,318,542.85","13,987,165.40","12,668,622.55",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Eli Lilly & Co,Eli Lilly & Co,LLY,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A+,A+,A+,NR,A1,A1,A1,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,98389B100,XCEL ENERGY INC,,0.00,,"23,995.00","724,274.82","1,485,530.45","761,255.63",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Xcel Energy Inc,Xcel Energy Inc,XEL,CORPORATE STOCK - COMMON,ELECTRIC,A-,A-,A-,NR,Baa1,Baa1,Baa1,,BBB+,F2,BBB+,F2,BBB+,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,458140100,INTEL CORP,,0.00,,"23,995.00","587,265.30","1,205,748.75","618,483.45",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Intel Corp,Intel Corp,INTC,CORPORATE STOCK - COMMON,SEMICONDUCTORS,A,A,A,NR,A2,A2,A2,P-3,A-,F2,A-,F2,A-,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,233331107,DTE ENERGY CO,,0.00,,"23,995.00","1,355,187.96","2,645,688.70","1,290,500.74",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,DTE Energy Co,DTE Energy Co,DTE,CORPORATE STOCK - COMMON,ELECTRIC,BBB+,BBB+,BBB+,NR,Baa2,Baa2,Baa2,,BBB,F2,BBB,F2,BBB,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,370334104,GENERAL MILLS INC,,0.00,,"23,995.00","1,138,450.55","1,563,034.30","424,583.75",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,General Mills Inc,General Mills Inc,GIS,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB,BBB,BBB,NR,Baa2,Baa2,Baa2,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,,DREYFUS GOVT CAS MGMT INST 289,VAR RT  12/31/2075 DD 06/03/97,0.05,12/31/75,"846,548.21","846,548.21","846,548.21",0.00,12/29/23,12/30/2023 1:14:58 AM,12/29/23,VARIABLE RATE,MONTHLY,Bank of New York Mellon Corp/The,Dreyfus Government Cash Management Funds,,REGISTERED INVESTMENT COMPANIES,SHORT TERM INVESTMENT FUNDS (US REGULATED),,NR,A,,,WR,A1,,,,NR,NR,AA-,F1+,1.00,O,NOT APPLICABLE,V,MUT-FUND,5,BV,BOOK VALUE,,B,BOND,,,0.96,,,0.00,0.00
MILL TTF EQ-DIV,921946406,VANGUARD HIGH DVD YIELD ETF,,0.00,,"36,370.00","3,999,943.54","4,059,983.10","60,039.56",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Vanguard Group Inc/The,Vanguard High Dividend Yield ETF,VYM,REGISTERED INVESTMENT COMPANIES,US EQUITY INDEX ETF (US REGULATED),,,,,,,,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,744573106,PUBLIC SERVICE ENTERPRISE GROU,,0.00,,"23,995.00","861,510.16","1,467,294.25","605,784.09",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Public Service Enterprise Group Inc,Public Service Enterprise Group Inc,PEG,CORPORATE STOCK - COMMON,ELECTRIC,BBB+,BBB+,BBB+,NR,Baa2,Baa2,Baa2,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,92942W107,WK KELLOGG CO,,0.00,,"6,936.00","99,926.73","91,139.04","-8,787.69",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,WK Kellogg Co,WK Kellogg Co,KLG,CORPORATE STOCK - COMMON,FOOD PROCESSING,,,,,,,,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,89417E109,TRAVELERS COS INC/THE,,0.00,,"23,995.00","1,966,862.79","4,570,807.55","2,603,944.76",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Travelers Cos Inc/The,Travelers Cos Inc/The,TRV,CORPORATE STOCK - COMMON,INSURANCE,A,A,A,NR,A2,A2,A2,,A+,F1,A+,F1,A+,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,189054109,CLOROX CO/THE,,0.00,,"23,995.00","2,132,328.84","3,421,447.05","1,289,118.21",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Clorox Co/The,Clorox Co/The,CLX,CORPORATE STOCK - COMMON,HOUSEHOLD PRODUCTS/WARES,BBB+,BBB+,BBB+,NR,Baa1,Baa1,Baa1,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,594918104,MICROSOFT CORP,,0.00,,"23,995.00","815,783.26","9,023,079.80","8,207,296.54",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Microsoft Corp,Microsoft Corp,MSFT,CORPORATE STOCK - COMMON,SOFTWARE,AAA,AAA,AAA,NR,Aaa,Aaa,Aaa,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILLENNIUM TTF FI,3130AMU67,FEDERAL HOME LN BK CONS BD,0.400% 06/28/2024 DD 06/28/21,0.00,6/28/24,"18,000,000.00","18,000,000.00","17,580,600.00","-419,400.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Home Loan Banks,FHLB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.41,,10.17,5.29,,0.00,0.00
MILLENNIUM TTF FI,91282CFM8,U S TREASURY NOTE,4.125% 09/30/2027 DD 09/30/22,0.04,9/30/27,"10,000,000.00","9,996,484.38","10,070,300.00","73,815.62",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,United States Treasury Note/Bond,T,U. S. GOVERNMENT SECURITIES,US GOVERNMENTS,AA+,AA+,AA+,,Aaa,Aaa,Aaa,AAA,AA+,F1+,AA+,F1+,AA+,F1+,1.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,4.10,,3.95,3.95,,0.00,0.00
MILLENNIUM TTF FI,3133ENYK0,FEDERAL FARM CR BK CONS BD,4.450% 06/08/2032 DD 06/08/22,0.04,6/8/32,"10,000,000.00","10,000,000.00","9,540,900.00","-459,100.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,4.66,,50.00,5.11,,0.00,0.00
MILLENNIUM TTF FI,3133EPYC3,FEDERAL FARM CR BK CONS BD,5.360% 10/20/2027 DD 10/20/23,0.05,10/20/27,"10,000,000.00","9,995,000.00","10,151,200.00","156,200.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,5.28,,4.49,4.92,,0.00,0.00
MILLENNIUM TTF FI,3133EMMP4,FEDERAL FARM CR BK CONS BD,0.390% 07/14/2025 DD 01/14/21,0.00,7/14/25,"10,000,000.00","10,000,000.00","9,380,500.00","-619,500.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.42,,50.00,4.65,,0.00,0.00
MILLENNIUM TTF FI,06406RBM8,BANK OF NEW YORK MELLON CORP/T,VAR RT  10/25/2033 DD 10/25/22,0.06,10/25/33,"5,000,000.00","5,000,000.00","5,308,900.00","308,900.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,VARIABLE RATE,SEMI-ANNUAL,Bank of New York Mellon Corp/The,Bank of New York Mellon Corp/The,BK,CORPORATE DEBT INSTRUMENTS,BANKING & FINANCE,A,A,A,A,A1,A1,A1,A2,AA-,F1+,AA-,F1+,AA-,F1+,2.00,D,DAILY,V,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,5.48,,4.93,5.13,,0.00,0.00
MILLENNIUM TTF FI,3133ENW97,FEDERAL FARM CR BK CONS BD,5.030% 11/01/2024 DD 11/01/22,0.05,11/1/24,"10,000,000.00","10,000,000.00","9,971,400.00","-28,600.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,5.05,,21.75,5.42,,0.00,0.00
MILLENNIUM TTF FI,9128285M8,U S TREASURY NOTE,3.125% 11/15/2028 DD 11/15/18,0.03,11/15/28,"10,000,000.00","9,935,937.50","9,669,900.00","-266,037.50",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,United States Treasury Note/Bond,T,U. S. GOVERNMENT SECURITIES,US GOVERNMENTS,AA+,AA+,AA+,,Aaa,Aaa,Aaa,AAA,AA+,F1+,AA+,F1+,AA+,F1+,1.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.24,,3.90,3.90,,0.00,0.00
MILLENNIUM TTF FI,3133EMAB8,FEDERAL FARM CR BK CONS BD,0.390% 06/17/2024 DD 09/17/20,0.00,6/17/24,"13,500,000.00","13,486,500.00","13,198,005.00","-288,495.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,0.40,,50.00,5.43,,0.00,0.00
MILLENNIUM TTF FI,3133ENZD5,FEDERAL FARM CR BK CONS BD,4.470% 06/22/2028 DD 06/22/22,0.04,6/22/28,"10,000,000.00","10,000,000.00","9,817,300.00","-182,700.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,4.56,,50.00,4.94,,0.00,0.00
