Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Holdings As Of Date,Acctg Status Update (CDT),Price Date,Income Rate Type Desc,Payment Frequency Desc,Issuer Name,Base Issuer Name,Ticker,5500 Category Description,Asset Type Description,S&P Base LT Rating,S&P Parent LT Rating,S&P Ultimate LT Rating,S&P Quality Rating - Non GRS,Moody's Base LT Rating,Moody's Parent LT Rating,Moody's Ultimate LT Rating,Moody Quality Rating - Non GRS,Fitch Base LT Rating,Fitch Base ST Rating,Fitch Parent LT Rating,Fitch Parent ST Rating,Fitch Ultimate LT Rating,Fitch Ultimate ST Rating,Fair Value Hierarchy Level,Frequency Requirement,Frequency Requirement Desc,Income Rate Type,Issue Type Description,Payment Frequency,Price Source,Price Source Description,Price Type Description,Security Type,Security Type Description,Current Yield,Modified Duration,Yield to Call,Yield to Maturity,Option Adjusted Duration,YTM At Book,YTM At Market
MILL TTF EQ-DIV,742718109,PROCTER & GAMBLE CO/THE,,0.00,,"26,082.00","1,918,880.49","3,804,320.52","1,885,440.03",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Procter & Gamble Co/The,Procter & Gamble Co/The,PG,CORPORATE STOCK - COMMON,COSMETICS/PERSONAL CARE,AA-,AA-,AA-,NR,Aa3,Aa3,Aa3,P-3,,NR,,NR,,NR,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,314211103,FEDERATED HERMES INC,,0.00,,"26,082.00","672,381.90","883,397.34","211,015.44",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Federated Hermes Inc,Federated Hermes Inc,FHI,CORPORATE STOCK - COMMON,DIVERSIFIED FINANCIAL SERVICES,,,,NR,,,,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,594918104,MICROSOFT CORP,,0.00,,"26,082.00","886,737.19","8,235,391.50","7,348,654.31",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Microsoft Corp,Microsoft Corp,MSFT,CORPORATE STOCK - COMMON,SOFTWARE,AAA,AAA,AAA,NR,Aaa,Aaa,Aaa,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,025537101,AMERICAN ELECTRIC POWER CO INC,,0.00,,"26,082.00","1,255,345.15","1,961,888.04","706,542.89",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,American Electric Power Co Inc,American Electric Power Co Inc,AEP,CORPORATE STOCK - COMMON,ELECTRIC,A-,A-,A-,NR,Baa2,Baa2,Baa2,P-3,BBB,WD,BBB,WD,BBB,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,871829107,SYSCO CORP,,0.00,,"26,082.00","916,646.23","1,722,716.10","806,069.87",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Sysco Corp,Sysco Corp,SYY,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB,BBB,BBB,NR,Baa1,Baa1,Baa1,P-3,BBB,F2,BBB,F2,BBB,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,580135101,MCDONALD'S CORP,,0.00,,"26,082.00","2,655,351.71","6,871,042.08","4,215,690.37",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,McDonald's Corp,McDonald's Corp,MCD,CORPORATE STOCK - COMMON,RETAIL,BBB+,BBB+,BBB+,NR,Baa1,Baa1,Baa1,,WD,NR,WD,NR,WD,NR,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,478160104,JOHNSON & JOHNSON,,0.00,,"26,082.00","2,149,485.50","4,062,271.50","1,912,786.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Johnson & Johnson,Johnson & Johnson,JNJ,CORPORATE STOCK - COMMON,PHARMACEUTICALS,AAA,AAA,AAA,NR,Aaa,Aaa,Aaa,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,58933Y105,MERCK & CO INC,,0.00,,"26,082.00","1,111,863.93","2,685,141.90","1,573,277.97",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Merck & Co Inc,Merck & Co Inc,MRK,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A+,A+,A+,NR,A1,A1,A1,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,,DREYFUS GOVT CAS MGMT INST 289,VAR RT  12/31/2075 DD 06/03/97,0.05,12/31/75,"49,295,646.66","49,295,646.66","49,295,646.66",0.00,9/29/23,9/29/2023 10:34:22 PM,9/29/23,VARIABLE RATE,MONTHLY,Bank of New York Mellon Corp/The,Dreyfus Government Cash Management Funds,,REGISTERED INVESTMENT COMPANIES,SHORT TERM INVESTMENT FUNDS (US REGULATED),,NR,A,,,WR,A1,,,,NR,NR,AA-,F1+,1.00,O,NOT APPLICABLE,V,MUT-FUND,5,BV,BOOK VALUE,,B,BOND,,,0.96,,,0.00,0.00
MILL TTF EQ-DIV,194162103,COLGATE-PALMOLIVE CO,,0.00,,"53,188.00","2,909,456.15","3,782,198.68","872,742.53",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Colgate-Palmolive Co,Colgate-Palmolive Co,CL,CORPORATE STOCK - COMMON,COSMETICS/PERSONAL CARE,AA-,AA-,AA-,NR,Aa3,Aa3,Aa3,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,166764100,CHEVRON CORP,,0.00,,"26,082.00","2,783,076.46","4,397,946.84","1,614,870.38",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Chevron Corp,Chevron Corp,CVX,CORPORATE STOCK - COMMON,OIL & GAS,AA-,AA-,AA-,NR,Aa2,Aa2,Aa2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,89417E109,TRAVELERS COS INC/THE,,0.00,,"26,082.00","2,137,933.54","4,259,451.42","2,121,517.88",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Travelers Cos Inc/The,Travelers Cos Inc/The,TRV,CORPORATE STOCK - COMMON,INSURANCE,A,A,A,NR,A2,A2,A2,,A+,NR,A+,NR,A+,NR,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,205887102,CONAGRA BRANDS INC,,0.00,,"26,082.00","683,689.92","715,168.44","31,478.52",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Conagra Brands Inc,Conagra Brands Inc,CAG,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB-,BBB-,BBB-,NR,Baa3,Baa3,Baa3,,BBB-,F3,BBB-,F3,BBB-,F3,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,110122108,BRISTOL-MYERS SQUIBB CO,,0.00,,"26,082.00","1,122,082.97","1,513,799.28","391,716.31",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Bristol-Myers Squibb Co,Bristol-Myers Squibb Co,BMY,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A+,A+,A+,NR,A2,A2,A2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,487836108,KELLOGG CO,,0.00,,"27,747.00","1,713,421.96","1,651,223.97","-62,197.99",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Kellogg Co,Kellogg Co,K,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB,BBB,BBB,NR,Baa2,Baa2,Baa2,P-3,BBB,F2,BBB,F2,BBB,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,532457108,ELI LILLY & CO,,0.00,,"26,082.00","1,433,225.03","14,009,424.66","12,576,199.63",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Eli Lilly & Co,Eli Lilly & Co,LLY,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A+,A+,A+,NR,A1,A1,A1,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,88579Y101,3M CO,,0.00,,"27,747.00","3,158,541.85","2,597,674.14","-560,867.71",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,3M Co,3M Co,MMM,CORPORATE STOCK - COMMON,MISC MANUFACTURER,BBB+,BBB+,BBB+,NR,A2,A2,A2,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,189054109,CLOROX CO/THE,,0.00,,"26,082.00","2,317,791.24","3,418,306.92","1,100,515.68",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Clorox Co/The,Clorox Co/The,CLX,CORPORATE STOCK - COMMON,HOUSEHOLD PRODUCTS/WARES,BBB+,BBB+,BBB+,NR,Baa1,Baa1,Baa1,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,191216100,COCA-COLA CO/THE,,0.00,,"35,869.00","1,375,786.12","2,007,946.62","632,160.50",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Coca-Cola Co/The,Coca-Cola Co/The,KO,CORPORATE STOCK - COMMON,BEVERAGES,A+,A+,A+,NR,A1,A1,A1,P-3,A,F1,A,F1,A,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,539830109,LOCKHEED MARTIN CORP,,0.00,,"26,082.00","3,155,675.80","10,666,494.72","7,510,818.92",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Lockheed Martin Corp,Lockheed Martin Corp,LMT,CORPORATE STOCK - COMMON,AEROSPACE/DEFENSE,A-,A-,A-,NR,A2,A2,A2,,A-,F1,A-,F1,A-,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,98389B100,XCEL ENERGY INC,,0.00,,"26,082.00","787,269.67","1,492,412.04","705,142.37",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Xcel Energy Inc,Xcel Energy Inc,XEL,CORPORATE STOCK - COMMON,ELECTRIC,A-,A-,A-,NR,Baa1,Baa1,Baa1,,BBB+,F2,BBB+,F2,BBB+,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,744573106,PUBLIC SERVICE ENTERPRISE GROU,,0.00,,"26,082.00","936,441.26","1,484,326.62","547,885.36",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Public Service Enterprise Group Inc,Public Service Enterprise Group Inc,PEG,CORPORATE STOCK - COMMON,ELECTRIC,BBB+,BBB+,BBB+,NR,Baa2,Baa2,Baa2,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,494368103,KIMBERLY-CLARK CORP,,0.00,,"26,082.00","2,398,302.43","3,152,009.70","753,707.27",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Kimberly-Clark Corp,Kimberly-Clark Corp,KMB,CORPORATE STOCK - COMMON,HOUSEHOLD PRODUCTS/WARES,A,A,A,NR,A2,A2,A2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,233331107,DTE ENERGY CO,,0.00,,"26,082.00","1,473,057.40","2,589,420.96","1,116,363.56",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,DTE Energy Co,DTE Energy Co,DTE,CORPORATE STOCK - COMMON,ELECTRIC,BBB+,BBB+,BBB+,NR,Baa2,Baa2,Baa2,,BBB,F2,BBB,F2,BBB,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,458140100,INTEL CORP,,0.00,,"26,082.00","638,343.55","927,215.10","288,871.55",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Intel Corp,Intel Corp,INTC,CORPORATE STOCK - COMMON,SEMICONDUCTORS,A,A,A,NR,A2,A2,A2,P-3,A-,F2,A-,F2,A-,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,718546104,PHILLIPS 66,,0.00,,"26,082.00","1,685,466.00","3,133,752.30","1,448,286.30",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Phillips 66,Phillips 66,PSX,CORPORATE STOCK - COMMON,OIL & GAS,BBB+,BBB+,BBB+,NR,A3,A3,A3,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,370334104,GENERAL MILLS INC,,0.00,,"26,082.00","1,237,468.94","1,668,987.18","431,518.24",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,General Mills Inc,General Mills Inc,GIS,CORPORATE STOCK - COMMON,FOOD PROCESSING,BBB,BBB,BBB,NR,Baa2,Baa2,Baa2,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,437076102,HOME DEPOT INC/THE,,0.00,,"26,082.00","2,017,498.14","7,880,937.12","5,863,438.98",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Home Depot Inc/The,Home Depot Inc/The,HD,CORPORATE STOCK - COMMON,RETAIL,A,A,A,NR,A2,A2,A2,P-3,A,F1,A,F1,A,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,713448108,PEPSICO INC,,0.00,,"26,082.00","2,097,108.48","4,419,334.08","2,322,225.60",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,PepsiCo Inc,PepsiCo Inc,PEP,CORPORATE STOCK - COMMON,BEVERAGES,A+,A+,A+,NR,A1,A1,A1,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,30231G102,EXXON MOBIL CORP,,0.00,,"26,082.00","2,219,925.66","3,066,721.56","846,795.90",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Exxon Mobil Corp,Exxon Mobil Corp,XOM,CORPORATE STOCK - COMMON,OIL & GAS,AA-,AA-,AA-,NR,Aa2,Aa2,Aa2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,20825C104,CONOCOPHILLIPS,,0.00,,"26,082.00","1,392,393.17","3,124,623.60","1,732,230.43",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,ConocoPhillips,ConocoPhillips,COP,CORPORATE STOCK - COMMON,OIL & GAS,A-,A-,A-,NR,A2,A2,A2,NR,A,WD,A,WD,A,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILLENNIUM TTF FI,3133EPVZ5,FEDERAL FARM CR BK CONS BD,5.670% 09/18/2029 DD 09/18/23,0.06,9/18/29,"10,000,000.00","9,952,000.00","9,988,000.00","36,000.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,B3,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,5.70,,5.97,5.78,,0.00,0.00
MILLENNIUM TTF FI,3133EN4K3,FEDERAL FARM CR BK CONS BD,5.330% 12/20/2027 DD 12/20/22,0.05,12/20/27,"10,000,000.00","10,000,000.00","9,805,900.00","-194,100.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,NR,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,5.44,,13.92,5.85,,0.00,0.00
MILLENNIUM TTF FI,854502AQ4,STANLEY BLACK & DECKER INC,3.000% 05/15/2032 DD 02/24/22,0.03,5/15/32,"2,500,000.00","2,495,250.00","2,023,625.00","-471,625.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Stanley Black & Decker Inc,Stanley Black & Decker Inc,SWK,CORPORATE DEBT INSTRUMENTS,INDUSTRIAL,A-,A-,A-,A-,Baa2,Baa2,Baa2,CAA1,BBB+,F2,BBB+,F2,BBB+,F2,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,3.71,,5.95,5.87,,0.00,0.00
MILLENNIUM TTF FI,3133ENNM8,FEDERAL FARM CR BK CONS BD,2.280% 02/14/2028 DD 02/14/22,0.02,2/14/28,"10,000,000.00","10,000,000.00","8,919,000.00","-1,081,000.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,AAA,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,2.56,,621.16,5.05,,0.00,0.00
MILLENNIUM TTF FI,91282CHV6,U S TREASURY NOTE,5.000% 08/31/2025 DD 08/31/23,0.05,8/31/25,"25,000,000.00","24,972,656.25","24,951,250.00","-21,406.25",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,United States Treasury Note/Bond,T,U. S. GOVERNMENT SECURITIES,US GOVERNMENTS,AA+,AA+,AA+,,Aaa,Aaa,Aaa,,AA+,F1+,AA+,F1+,AA+,F1+,1.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,B,BOND,5.01,,5.14,5.14,,0.00,0.00
MILLENNIUM TTF FI,3133ENXV7,FEDERAL FARM CR BK CONS BD,4.330% 06/02/2031 DD 06/02/22,0.04,6/2/31,"10,000,000.00","10,000,000.00","9,198,600.00","-801,400.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,United States of America,Federal Farm Credit Banks Funding Corp,FFCB,U. S. GOVERNMENT SECURITIES,US AGENCIES,,AA+,AA+,AA+,Aaa,Aaa,Aaa,NR,,F1+,AA+,F1+,AA+,F1+,2.00,D,DAILY,F,CORP-GOVT,1,T,IDSI,CLOSE,G,MBS - MORTGAGE BACKED,4.63,,349.77,5.35,,0.00,0.00
